Control_1	Control_2	Control_3	Heat_treated_1	Heat_treated_2	Heat_treated_3
g133	17.2098783638708	15.3889835621783	15.7423314628454	15.9911827982091	16.6461203360589	15.799144356422
g134	11.1000485595592	11.0046455859033	11.3131764782513	11.5643376052417	11.8603364191063	11.5354913175675
g135	10.1547924965533	9.55704259095625	9.88870338714031	10.7430648176328	10.0979870937095	9.88820636886891
g136	13.0760496244379	10.6395347115483	10.8330124527786	13.3018797559448	13.1731607001187	13.4704584596653
g137	8.74609215072779	9.10528060000508	8.82412066550158	8.37241472038301	9.06259473142417	8.70236048875852
g138	8.81480076743587	8.88042670342481	8.25461130164099	7.92403881571757	8.08109600442815	7.59464018760569
g139	10.2609714193256	9.58136934520942	9.96762047860971	10.8112445869535	10.8275782790764	10.6322255378977
g140	8.43234440138186	8.6270167604969	8.60618436366922	7.17917370294399	7.48208178881997	7.89959518905374
g141	9.91524829739947	8.95713069757865	9.17891980558	9.54743137568838	10.5930891217846	10.5491224951876
g142	9.87924288817908	10.8127794487104	10.6313664099673	8.93505623280169	8.56179526251398	9.76139426794461
g143	9.89151818058656	10.15863501298	9.76675063539239	10.7288831976596	10.5471996669394	10.447973812614
g144	5.62079051392726	6.07864086329778	5.51558617037691	5.69540621409437	5.39206509997609	6.05318392317313
g145	10.1703519742571	10.5511032018262	10.4750286888166	11.4050757209199	11.4500201950369	11.0423895607974
g146	8.57694107592854	8.83887748857136	9.02221283971769	7.77275811383791	7.72514840668054	7.93056086035608
g147	7.00252013993058	7.87646386117094	7.24311385320356	6.68246161778099	6.2542719879061	7.3881435211317
g148	9.6170709654843	10.4143280007251	10.5254838561037	8.68256066558423	7.68547938527683	9.07971093752629
g149	10.074824759412	10.6989203540998	10.3569763651204	10.400223990715	10.4471433550402	10.4050345069633
g150	9.23308506283833	9.50436426667048	9.34461240525091	9.3285887654716	8.99386754733757	9.45796996318726
g151	9.67424670294872	12.2976835674559	11.7905299770991	10.1729127468703	11.5963611818765	10.7094646726483
g152	11.8122302820173	11.1477680177891	10.9131201603845	7.62213934836356	7.73678066534957	9.44186113336708
g153	10.8076186395998	9.90166035169428	9.7457981884576	10.6404885122529	11.5238905951563	10.834396875272
g154	9.31237445773633	9.06977085746906	9.2787125295265	9.59570657015491	9.46394677228563	9.0550396431928
g155	8.94921710689579	9.10531977943226	8.87019241755216	8.5364915003295	8.14970693926618	9.04925894257583
g156	9.82458213703204	9.90110937961111	9.98499082671621	8.19312164743464	8.49411349876498	8.81929696729801
g157	8.38477647228407	8.94135567898402	8.63291477998337	8.10023743198661	7.85032272913055	8.48905617031369
g158	9.75659042498957	9.50046102779421	9.39835187788939	9.76757219623961	10.4181705707521	9.95131834981503
g159	5.55707195514702	7.89981707152108	7.42548375044575	5.6595701351872	5.68515062097188	4.83404905903421
g160	10.5285275101743	11.0790944131895	11.1542568401647	9.44933415217502	9.49334628168006	10.0698384220449
g161	8.21763056254963	8.28428123916657	8.29807155721808	6.51090335515802	6.76850824471267	7.00116002065897
g162	14.3097210044418	14.7140361732546	14.7120434589172	14.4902761737074	15.0703121352611	14.1143215463226
g163	10.4787734864669	9.81550187904305	10.136510833216	10.8633545489107	10.7276004915066	10.8067223161393
g164	11.091255943168	11.7303297231924	11.2541377471952	11.1395649863331	10.9388785601475	10.6115943303514
g165	10.9323430146121	10.9642717422639	10.9672928440553	11.6906190799449	11.866905287115	11.1233602338132
g166	10.1756199444503	9.90837157320146	9.92547151130881	10.8144804026833	10.70618204979	10.5394672829028
g167	7.18492681087278	7.65709687539162	7.29744148076883	6.56630913784269	7.08535818227461	7.17861083994397
g168	11.1978787051594	11.7091281475939	11.7776598963926	11.2512766666617	11.9614115365263	11.6030556141545
g169	9.07291753378141	8.43583775144542	8.19573543127518	8.74482693581395	8.17560374007392	9.42605929417252
g170	12.1457029141117	11.4757948570227	11.7923780422589	11.6919311421923	11.9317502168502	11.2894447864215
g171	9.38122242035108	9.20642406498323	9.3202612466317	8.95705168011997	8.83697002698502	9.4818205288389
g172	9.47139921984805	13.3781001497432	11.7795467858224	12.175716960441	13.6392106276715	12.5824200310657
g173	12.7246370015216	12.1802237062295	12.7591555756709	10.2618517048109	11.0101448053328	10.9171635885492
g174	14.3304213947526	13.7594598661732	13.7733045305377	12.6536251777709	13.0776256780267	12.9428962590457
g175	9.62164758930102	8.17865944331268	8.15275685786117	7.9326448895808	8.10272431440308	8.17251918583344
g176	8.79842512993908	7.00884235245627	7.41347270671318	8.18832755350512	7.86662786284719	7.53586358288844
g177	13.4996173531991	11.5977554663975	12.0258909959043	12.5209705859965	13.0230624645349	12.2838328215402
g178	6.90378724303058	6.48567758954118	6.92239438355803	6.74830498903828	6.18932012416368	6.51087444597738
g179	6.78860071830293	6.25376011935671	6.50344560727489	6.62653673867386	5.72910302206916	6.17569260998469
g180	8.982901736448	8.93078051290274	8.8896023420807	9.1092925155481	8.55153665529361	9.15425636966625
g181	11.4999823119381	13.3195455453132	13.5993117877727	11.4196119231867	11.1281634896395	11.0929000197991
g182	9.69887021219949	9.99240770593648	10.0219756067721	10.2808302442784	10.1518607270519	9.93651723635985
g183	12.7382989064973	12.801564665137	12.7608113567246	13.6644822564637	14.0653361248044	13.2471606982501
g184	7.69672259418063	8.42644137106376	8.47222569275344	5.10176603857687	6.86610896121185	6.58352764483074
g185	11.1306329880303	11.0981038190034	10.9534069606767	9.32612601643105	9.63871655452597	10.1922908727428
g186	8.98198199492819	10.7867174538875	10.1019150603246	7.49525507670547	7.27567637646825	7.33246892731443
g187	2.15837831364684	2.46714087320347	2.32509815542961	3.43552175696187	2.78395056359394	2.81707765166374
