"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g131",6287.30713358092,-1.10024013696695,0.298413536436904,-3.6869645730685,0.000226944936761638,0.00170208702571228
"g132",1190.98110849619,0.0636740810952316,0.813139637646796,0.0783064533411538,0.937584284204291,0.950930679708979
"g133",85360.293692227,-0.275197789683029,0.724701969541658,-0.379739260067252,0.704138974013429,0.772662890254914
"g134",2797.83106469531,0.727138943038117,0.30393227187756,2.3924374287277,0.016736881638405,0.0454286787328136
"g135",1131.21248323913,0.581103129152697,0.465909616817027,1.24724433275845,0.212307921979774,0.3324602074958
"g136",8426.6055799423,1.6768902329598,0.906467707358006,1.84991723295612,0.0643254796977868,0.133467452610313
"g137",458.153136160375,-0.223640044583161,0.399192069431419,-0.560231682211769,0.575321419465245,0.674759689496275
"g138",337.162970153738,-1.16543346547989,0.41629106631028,-2.79956395848102,0.0051171678073661,0.0167679713638634
"g139",1418.10997653571,1.11680796182302,0.373116579628018,2.99318771343915,0.00276079886624911,0.0102185412581948
"g140",299.694399306627,-1.46130203866375,0.410364447211,-3.5609859689243,0.000369464828526925,0.00228907556804725
"g141",1047.12315268846,1.257539458363,0.578641197891183,2.17326291827477,0.0297605347051507,0.072726387027203
"g142",1131.02951410353,-1.8380024703476,0.600842721507626,-3.05904091795555,0.00222046819744817,0.00855180319287469
"g143",1288.66549838748,0.891891784461567,0.312009685686161,2.85853877420551,0.00425597091906741,0.0147920940479782
"g144",55.0313470781363,-0.0305151756722877,0.543653895711055,-0.0561297838809309,0.955238417227144,0.958601932780761
"g145",2036.23401145195,1.27509670303048,0.335071319352152,3.80544865939534,0.000141547374185083,0.00112058337896524
"g146",358.497514470654,-1.47907818957964,0.327734382546875,-4.51303942566382,6.3905136924348e-06,9.10648201171959e-05
"g147",152.521326460334,-0.843186466281266,0.620081532100799,-1.35979935319893,0.1738934271538,0.284825441027777
"g148",928.088114944319,-2.30521057863325,0.639791249451054,-3.60306675124291,0.000314484725801304,0.0021373643248808
"g149",1368.06919993591,0.016431496883522,0.345771823997066,0.0475212141162244,0.962097823014278,0.962097823014278
"g150",642.471658095932,-0.126982991495463,0.329867807918624,-0.384951148451531,0.700273609467866,0.772662890254914
"g151",2932.13426997057,-0.960645711753803,0.877400637627833,-1.09487692458377,0.273570559683135,0.406081299529654
"g152",2028.55690128649,-3.85452240052821,0.845530609700262,-4.55870237730912,5.14706512773439e-06,8.14951978557945e-05
"g153",1777.92020780151,1.1351425728473,0.576297268453245,1.96971708003054,0.0488708043701251,0.10713984034989
"g154",639.423690978154,0.242721588027409,0.348153312365328,0.697168688065542,0.485697232005445,0.607121540006806
"g155",459.042749058483,-0.486240305409462,0.441647468699086,-1.1009693021489,0.270910017862677,0.404237461208706
"g156",727.192116423765,-1.96740196400998,0.368038934559817,-5.34563541860874,9.01004049080127e-08,1.78815231344326e-06
"g157",356.962531992125,-0.721137956789139,0.423082208733327,-1.70448660308399,0.0882902167948178,0.165544156490283
"g158",939.462347072146,0.752023937193588,0.390373880923997,1.92641970670164,0.0540519887239594,0.11582569012277
"g159",129.02979155362,-2.86201082167667,0.860439283763238,-3.32622054302229,0.00088032244886148,0.00425240504958512
"g160",1525.4656525579,-1.75905618048403,0.439946795335333,-3.99833843349912,6.37887002957888e-05,0.000586444502719349
"g161",233.650705608487,-2.22544835390454,0.355580531463033,-6.25863385924969,3.88364467199888e-10,1.00621702865426e-08
"g162",25325.1880029085,0.0474945514590958,0.457119260349203,0.103899694409756,0.917248949621806,0.946091009095006
"g163",1505.77799754547,0.882446733572257,0.362924834922824,2.43148621603675,0.0150370204654997,0.0412072195448791
"g164",2354.24005557337,-0.668358163541982,0.403379122412772,-1.65689825379227,0.0975400474856694,0.178198163675742
"g165",2619.22141798846,0.932068543183739,0.376807823989866,2.47359126812825,0.0133762632977396,0.0381223503985579
"g166",1375.94478110996,0.966475450618221,0.288464436977181,3.35041456321589,0.000806906970956534,0.00407477111503482
"g167",150.212726853358,-0.645482445659601,0.4407956477604,-1.46435757462483,0.143096273607332,0.242752607012438
"g168",3169.12393610852,0.0738052843742738,0.425215093493294,0.17357164762882,0.862202115672065,0.906743922385751
"g169",450.597948894444,0.381205604223134,0.595709119225078,0.639919034173964,0.522225238618937,0.638773360542476
"g170",3493.58571269412,-0.238290557591079,0.421678824334779,-0.565099653668867,0.572005984065341,0.673643410986042
"g171",600.495838502264,-0.25126355573735,0.378260563096419,-0.664260513124924,0.506523589146776,0.628322641218785
"g172",7839.21223913819,0.748703321009578,1.12856641990447,0.663410950215013,0.507067394667791,0.628322641218785
